title,location,description
Full Stack Engineer,"Boston, Massachusetts","Python
Angular2
Flask
PostgreSQL
"
SQL DBA,"Phoenix, Arizona 85001","XceedSearch is currently seeking a Database Administrator to fill a opening with a Healthcare company located in Downtown Phoenix
You have to be a Citizen or GC Holder NO SPONSORSHIP or Contract
You have to live in Phoenix Arizona NO Remote
Salary up to $130k plus benefits
Qualifications
Experience:
healthcare database management, 3 years (Required) SQL and Tableau
Education:
Bachelor's (Required)
Location:
Phoenix, AZ 85034 (Required)
License:
HIPAA data security and data privacy regulations (Required)
Full Job Description
A healthcare provider network that contract with health plans for value-based payment. Company receives claims files, member roster files, and clinical information from health plans and contracted healthcare providers. We are looking for an experienced HealthcareDatabase Administrator to manage all of our data assets and HIPAA compliance requirements.
TITLE: Healthcare Database Administrator
Scope of Responsibilities
Database Administrator duties and responsibilities involve monitoring and managing the company data assets including: data files, company databases, performing quality checks of data sets and ensuring data integrity, data extraction and storage, and manages and monitors the company HIPAA compliance and cybersecurity policies and procedures.
Essential Functions
The essential function of this position:
Ensuring all hardware and software applications and licenses are update to date.Managing data file extraction, data uploads, and data storage.Configures SQL server and databasesAuthenticating and performing data quality control checks and ensures data integrity.Responsible for company’s compliance with HIPAA security, data storage, data privacy, and data use requirements.Manages the development and creation of a data dictionary and assist with transforming data files into standard data sets.Participate in data governance and data file structure design.Assist with producing various company reports using Tableau and other third party analytic applications.Works with and oversees company’s third-party IT service vendors and monitors service levels.
Job Required Skills and Competencies
Critical Thinking and Analytical skills: Must apply strong analytical skills to monitor the database performance and evaluate complex data sets and information coming from a variety of data sources.
Communication skills: Must be able to communicate complex issues technical issues, work well with teams and must communicate effectively with managers, third-party vendors, health plan contractors, data scientist and analysts, and management.
Detail-oriented: Must be able to diagnosis data quality issues, data file issues, and diagnosis and report data errors.
Proactive Problem-Solver: Able to proactively troubleshoot potential data exchange or databased problems and develop effective solutions.
Project Management: Able to apply project management skills to management IT and other projects.
Interpersonal Skills: Must be able to work and collaborate well with other staff and healthcare providers.
Good Writing and Oral Presentation Skills: Must have good writing skills and be able to make coherent well- organized management presentations.
Education, Training & Certification
Education: Bachelor’s degree in computer science, information technology, or related field.
Certifications: Advanced education and certifications in HIPAA data security and data privacy regulations and requirements
Experience: A minimum of three years’ experience in healthcare database management including management of claims and patient health information, in addition to educational requirements.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:PPE is provided to all employees when needed.
Experience:
healthcare database management: 3 years (Required)
Education:
Bachelor's (Required)
Location:
Phoenix, AZ 85034 (Required)
License:
HIPAA data security and data privacy regulations (Required)
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
"
Data Analyst,"Creve Coeur, Missouri","KellyMitchell matches the best IT and business talent with premier organizations nationwide. Our clients, ranging from Fortune 500 corporations to rapidly growing high-tech companies, are exceptionally served by our 1500+ IT and business consultants. Our industry is growing rapidly, and now is a great time to launch your career with the KellyMitchell team.
  Data Analyst  
 Job Summary 
Candidates with a background in data analysis are highly desired for this position. The individual will be responsible for performing exploratory data analysis (EDA) across a range of datasets that will require communicating with domain experts to validate results. This role will also be expected to solve problems to ensure the delivery of data products as well as assist in fetching, munging, and qualifying data from multiple sources.
 Duties 
This position is expected to interact with various functions within the company, including data analytics, science, engineering, and product. Attention to detail, intellectual curiosity, and clear technical communication are key for the success of this role.Desired Skills/ Experience
BA/BS in Computer Science, Physics, Applied Math, Agronomy, Engineering or a related quantitative discipline with at least a year of data analytics or data science experience.
Intermediate skill using Python (eg pandas, numpy, matplotlib / seaborn, etc.)
Intermediate skill using SQL or PySpark dataframe manipulations
Knowledgeable of version control, e.g. git
Detail oriented and capable of performing deep dives into datasets
Strong communication skills to solicit information from domain experts and present results back to a technical audience
Self starter as well as able to work as part of a team
Basic knowledge of predictive analytic techniques and statistics.
M.Sc. in an analytics field
Experience with exploratory Big Data discovery through the use of technologies such as PySpark
Experience with complex data formats and data of varying quality
Experience building data pipelines and interacting with APIs
Data storytelling with meaningful, interpretable visualizations
Knowledge of agricultural technology especially with regard to row crops
Curiosity and an open-mind towards unfamiliar data sources and unfamiliar quantitative domains
*mjp123
"
Credit Risk Analyst,"Irving, Texas 75038","Reporting to our Credit Risk Management Director, this position’s charter is to increase the company’s profits through advanced statistical analytics, traditional risk management, machine learning and data science techniques. This individual will be a member of an exciting, fast-paced, and growing team making an immediate impact across the entire customer lifecycle (prospecting, acquisitions, customer management, and collections). This is a great opportunity for a talented person to broaden his/her business skill set through exposure to a wide variety of business problems and challenge him/herself with projects that can span from tactical to strategic in nature. This position is based at our Administrative Office (HQ) in Irving (Las Colinas), Texas.
KEY RESPONSIBILITIES
Develop and implement effective scoring models to be used in decisioning across all aspects of the customer lifecycle
Proactively collaborate with Information Technology (Database Engineers, Application Development, Business Intelligence),
Product Development, Marketing, Compliance, Decision Science, Marketing Analytics, and other internal groups to implement credit risk policies and underwriting criteria for new products and business opportunities
Profitably manage credit risk for all prospects and customers by monitoring trends, identifying opportunities, developing and presenting recommendations, implementing the strategies and measuring the impact
Successfully manage and complete multiple concurrent projects without losing focus
Provide timely and justified recommendations in response to ad hoc analysis requests by internal groups
Act as an internal resource for SAS best practices
Develop actionable reports for use by the senior leadership team
REQUIREMENTS
BS in an analytical field such as Statistics, Econometrics, Applied Mathematics, or highly quantitative engineering (e.g. Chemical Engineering, Mechanical Engineering)
1  years of work experience
Advanced user of SAS/STAT procedures and Excel
Advanced user of SAS to merge and mold data sets into a useful format
Results-oriented self-starter who is confident in defending his/her critical thinking abilities 
Proven track record of developing successful predictive analytics (i.e. statistical modeling)
Capitalistic mindset supported by a strong business acumen and work ethic
Demonstrated ability to communicate ideas and analysis results effectively both verbally and in writing to a non-technical audience
Local (Dallas/Fort Worth area) candidates only – no relocation
Must be currently authorized to work in the United States without sponsorship and not require sponsorship in the future
PREFERRED QUALIFICATIONS
Master’s degree in Statistics strongly preferred
Previous experience as a Data Scientist, Statistician, Risk Analyst, Quantitative Analyst, or Marketing Analyst
Risk modeling and strategy development for decisions such as initial approve/decline, credit limits, and credit limit
increases/decreases is a plus
Work experience in consumer credit
COMPENSATION
Annual salary of $75,100
BENEFITS
Medical, dental, and vision
Voluntary life/ AD&D
Short-term & long-term disability
401K with company match
Paid vacation, holidays, and sick time
Paid maternity, paternity, extended medical leave, and jury duty
Corporate discount program on personal cell phone accounts with select providers
Business casual work environment
ABOUT COTTONWOODFounded in 1996, Cottonwood Financial is one of the largest privately held retail consumer finance companies in the United States. We have zero debt, have been profitable every year since inception, and our growth is funded entirely through internally generated capital. Headquartered in Irving (Las Colinas), Texas, we have company-owned locations, under our Cash Store brand, across the country. Through this national brick-and-mortar footprint, we provide best-in-class customer service and offer an innovative mix of financial products and services to our customers.We have been named multiple times to the Inc. 5000 list of America’s fastest-growing private companies, as well as to the Dallas 100 list of the fastest-growing private companies in North Texas.
"
Master Data Specialist,"Downers Grove, Illinois","Are you a Customer Master Data Specialist? If so, let’s talk!
Our client is seeking a Customer Master Data Specialist to work at their location Downers Grove, Illinois. This is a 6-month contract position. 
Role purpose:
To create, monitor, and maintain Customer Master Data in support of company needs and business operations
Interface with IT, Marketing, Supply Chain, and Sales to consolidate and organize information required for creation and maintenance of system data
Accountabilities
Use of SAP programs to organize, update, and generate information used in multiple facets of Customer Master Data maintenance
Perform ongoing data stewardship, managing data completeness and quality following data governance standards
Creation, management, and maintenance of Customer Hierarchy codes representing unique demographic sales regions
Create, modify, and maintain Customer Codes as marketing programs are added or promoted
Creation and maintenance of SAP Customers upon request for Payer, Bill To, Sold To and Ship To evolve
Creation of custom queries to monitor and maintain Customer Master Data and Reporting needs
Creation and maintenance of B2B/CRM master data e.g. customer userids, employee user ids
Change of Customer Classifications as required
Manage data quality issues identified via data cleansing process
Maintain data stewardship documentation according to data governance standards
Escalate customer data issues to the Customer Data Manager
Mass loading of prospects, additions to new customers and marking duplicate data for deletion
Use of programs to organize, update, and generate information used in multiple facets of
Customer Master Data maintenance
Collaborate with internal stakeholders to align on day-to-day data quality tasks
Support special projects for Data Insights and Analytics Group, as needed
Knowledge, experience & capabilities:
Critical Knowledge:
Bachelor’s Degree in IT, Data Analytics, Data Science, or related field preferred
Broad understanding of information management systems
Critical experience:
Experience or knowledge of SAP system, Salesforce.Com, Demand Tools, or related master data management systems
Experience or knowledge of Alteryx or related data cleansing and integration systems
Experience in executing on MDM strategy or integration
Expert level experience in Excel and Microsoft Suite
Critical technical, professional and personal capabilities:
Ability to connect business needs with technical implementation
Able to interact with people on all levels of the organization
Highly numerate with exceptional attention to detail
Critical leadership capabilities:
Manages risk and is able to work with complex situations and matrixed environment
Prioritizes tasks and communicates roadblocks as applicable
Skillfully plans, organizes, and monitors performance to meet deadlines and ensure high standards
Sets ambitious strategic goals and performs actions to meet goals
How Success is Measured:
Deliver on high quality data to enable business decisions, recommendations and insights to ultimately aid in driving increased revenue growth
Leverage master data management skills and tools to cleanse, de-duplicate, process and integrate data into internal systems for cross-functional business needs
Top Characteristics:
Problem-Solving
Logical Mindset
Communication
Accountability
Job Requisition # 31424
APC believes that the workplace should be fun and enjoyable. Join our team today and ignite your career!
 
Meet APC 
Company – Staffing – 501 – 1000 employees 
 
APC is a professional services organization focused on engaging people and positively impacting lives. We offer excellent benefits and the opportunity for longevity, working with our premier fortune 100 clients. As professionals serving professionals, we take pride in providing our employees with the highest level of customer service and support, creating meaningful, fulfilling and rewarding experiences every day. 
APC is committed to creating a diverse work environment and is proud to be an equal opportunity employer. All qualified individuals will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, disability, genetics, or veteran status.
"
Advanced Analytics Lead,"Indianapolis, Indiana","

Are you passionate about using data science to propel decisions? If you are interested in crafting the smart connected home of the future - this is an opportunity to join the market-leading Delta Faucet Company team as we use analytics to turbocharge product development and business decisions!
Reporting to the Sr. Director of Insights and Analytics, this role will accompany a team of research and domain specialists excited to lead and deploy advanced analytics throughout the business. You will lead practitioners to develop advanced models, influence the IoT architecture, and grow our data and literacy.

Responsibilities: 
We are seeking a player/coach to lead our advanced analytics capability, specifically you will:
Build data driven behaviors development across the enterprise, moving analytic insight to actions
Explore, build and pilot analytic solutions to enhance business decisions
Craft an experimental framework to accelerate product development
Deliver demand models for planning and ad-hoc scenario analysis
Generate and synthesize economic, market, and consumer insights
Develop a team of analytics specialists and data scientists 
Lead academic data science partnerships
The role will also join a cross-functional leadership team influencing the architecture and development of data platforms to enable data science

Education & Experience: 
A successful candidate will be a lifelong learner who has:
3+ years architecting analytic solutions for sales, marketing, or manufacturing
3+ years crafting data visualizations using Power BI, Python, R-Shiny, or Tableau
3+ years of applied data science experience using R or Python or SAS
2+ years cross functional initiative experience
Bachelor’s Degree in Statistics, Data Science, Mathematics, Computer Science, Economics or other related degree






Masco Corporation (the “Company”) is an equal opportunity employer and we want to have the best available persons in every job. The Company makes employment decisions only based on merit. It is the Company’s policy to prohibit discrimination in any employment opportunity (including but not limited to recruitment, employment, promotion, salary increases, benefits, termination and all other terms and conditions of employment) based on race, color, sex, sexual orientation, gender, gender identity, gender expression, genetic information, pregnancy, religious creed, national origin, ancestry, age, physical/mental disability, medical condition, marital/domestic partner status, military and veteran status, height, weight or any other such characteristic protected by federal, state or local law. The Company is committed to complying with all applicable laws providing equal employment opportunities. This commitment applies to all persons involved in the operations of the Company regardless of where the employee is located and prohibits unlawful discrimination by any employee of the Company.
Masco Corporation is an E-Verify employer. E-Verify is an Internet based system operated by the Department of Homeland Security (DHS) in partnership with the Social Security Administration (SSA) that allows participating employers to electronically verify the employment eligibility of their newly hired employees in the United States. Please click on the following links for more information.

E-Verify Participation Poster: English & SpanishE-verify Right to Work Poster: English, Spanish

#LI-DNI 
"
Data Manager,"Miami, Florida 33178","Responsibilities:
Manage and oversee all data services across Operations, Transport, NOSC, and PIE activities.
Implement data management standards, requirements, and specifications and analyze and define data requirements and specifications.
Review data models and schemas design and collaborate management of databases implementation.
Administer data standards, policies, and procedures.
Plan and coordinate the development of data schemas and access strategies in alignment with business and mission requirements.
Manage the compilation, cataloging, caching, distribution, and retrieval of data.
Assist customers in navigating and accessing databases using various interface methods. use technical documentation or resources to implement new mathematical, data science, or computer science methods.
Ensures the interoperability between each activity through effective communications and conflict resolution through effective management of a large labor pool with a supervisory support staff. 
Provides proactive response to potential or developing issues arising within or between each activity.
Develop and support ongoing efforts to create efficiencies within and between each activity.
Participates in special projects as required.
 

REQUIRED QUALIFICATIONS:
TS Clearance with ability to obtain TS/SCI
Some shift work may be required
Travel up to 10%

DESIRED QUALIFICATIONS:
BA/BS (or equivalent experience)
5+ years of experience
DoD 8570 cert
#SCITES
"
SAP Development Manager,"Milwaukee, Wisconsin","The Development Manager is responsible for managing our development team, and is responsible for design, coding, testing, implementation, maintenance, and support for all Client SAP systems including integration with non-SAP applications. This role leads a combination of onshore and offshore resources, across multiple technology stacks, collaborating with, and leading ad-hoc work teams comprised of Systems and Business Analysts, developers, as well as cross-functional business team members to ensure that business requirements are met through technically excellent solutions.
 
This role will manage application development personnel, developing their skills and capabilities to meet the needs of the organization, as well as building on existing capabilities to address emerging technical needs and skill gaps. Focus is on the global rollout of a single SAP solution, support of our regionally deployed production SAP system and provide leadership, solution architecture expertise, and technical support for in-progress SAP projects as well as input to overall team leadership for goals, technical roadmap, and individual initiatives.
 
MINIMUM QUALIFICATIONS:
 
Bachelor's Degree in Information Technology, Computer Science, Engineering, or equivalent experience
10+ years of ABAP development experience or related equivalent.
Experience leading formal and ad-hoc work groups and teams in an SAP environment.
 
 
PREFERRED QUALIFICATIONS:
 
Ensure application RICEFW status reporting, metrics and benchmarks are delivered with efficiency and accuracy.
Demonstrated ability to route work tasks and projects to team members given a very tight capacity environment byre-prioritize work or enhancing team organizational structure when necessary.
Work closely with value stream managers to staff and deliver work on a tight release schedule
Experience with SAP solution architecture and leading technical teams across multiple skillsets and solution paths
Experience in troubleshooting/debugging production SAP problems
Experience implementing multiple domestic and international full life cycle SAP implementations - including Project Cutover preparation, Go Live support, and Post Go Live Hyper Care support
Experience with Web Services
Experience working with development help desk support role - ticket management, coverage requirements, response expectations
 
 
Previous experience with Process Orchestration migration/upgrade
Experience with both Agile and Waterfall methodologies
Experience with S4/HANA, Hybris, Ariba
Experience as an SAP WEB IDE full stack developer, including SAP Fiori/SAP Screen Personas/UI5/WebGUI
Experience with SAP Workflow/WebFlow
Experience with SAP ME/MII
Experience with PI/PO/CIG/CI9
 
 
KNOWLEDGE, SKILLS AND ABILITIES:
 
Solid organizational skills
Effective verbal and written communication skills
Strong ABAP hands-on development skills in SAP ECC with strong analytical and technical skills
Good knowledge of FICO, SD, PP, MM, QM modules of ECC and SAP CRM, SOLMAN, PI
Ability to support multiple SAP client instances and releases
Expert programming experience in the following technical areas: Reporting (conventional and interactive), Object
Oriented ABAP, User exits, Business Add-Ins and Enhancement spots, BDC and Call-Transaction, Interface development, BAPI, Module Pool (on-line dialog), SAP Script and Smart-Forms
Expertise in troubleshooting PI/PO/CIG integration to backend SAP systems, PI/PO/CIG and technical object performance tuning, interface tuning, alert monitoring, PI/PO/CIG Principle propagation, disaster recovery planning for PI/PO/CIG systems
Solid experience in RF Objects, ITS, label printing, Zebra printers
Knowledge of OSS Notes implementation, and helping with support pack upgrade technical issues
Knowledge of SOAP, IDOC, FILE, SFTP, PGP, JDBC adapter communication
ABAP Webdynpro, ALE IDOCs, SAP Business Workflow, Adobe Forms, ABAP Proxies, SAP PI/XI, EDI, knowledge of SAP BW, knowledge of Crystal Reports, Data migration
Ability to interact with value stream managers and analysists to understand business requirements and deliver quality solutions
About the Company:
Peterson Technology Partners (PTP) has been Chicago's premier Information Technology (IT) staffing, consulting, and recruiting firm for over 22+ years. Named after Chicago's historic Peterson Avenue, PTP has built its reputation by developing lasting relationships, leading digital transformation, and inspiring technical innovation throughout Chicagoland.
Based in Park Ridge, IL, PTP's 250+ employees have a narrow focus on a single market (Chicago) and expertise in 4 innovative technical areas;
Artificial Intelligence/Machine Learning/Data Science
Artificial Intelligence/Machine Learning/Data Science
Robotics/Robotic Process Automation (RPA)
Robotics/Robotic Process Automation (RPA)
Cyber/Data/Information Security
Cyber/Data/Information Security
DevOps/DevSecOps
DevOps/DevSecOps
PTP exists to ensure that all of our partners (clients and candidates alike) make the best hiring and career decisions.
Connect: LinkedIn | Facebook | Twitter | YouTube | All Social Links
Review:Google | Glassdoor | Yelp | All Review Links
Listen:iTunes | Spotify | Stitcher | All Podcast Links
Apply:Stack Overflow | Dice | LinkedIn | Glassdoor | All Job Openings
 
Peterson Technology Partners is an equal opportunity employer.
"
Intern- Clinical SAS; Drug Safety; Regulatory Affairs; CDM Associate,"Piscataway, New Jersey 08854","Clinical Operations: Clinical Research associate/ Clinical Research Coordinator/CTA/ CPM
Biometrics, Data Programming, SAS & Statistics: SAS Programmer / Biostatisticians/ Clinical Data Management/ Data Scientist
Regulatory Affairs & Writing: Regulatory Affairs/ 510(k) Submissions/ Chemistry, Mfg. & Controls Submissions/ Premarket Approvals.
Drug Safety & Medical Affairs: Pharmacovigilence/ Medical Information/ Medical Liaison/ Post marketing/ Scientific Advisors
Quality Assurance: Quality Assurance Operations/ Quality Assurance Auditors/ Quality Assurance Compliance
Validation: Computer System Validation / Cleaning Validation Engineer/ Equipment Validation.
Entry and mid-level Clinical & Pharmaceutical opportunities for OPT, CPT, LI, L2, H1 Transfer, H4 EAD, TN, Green card, and US citizens.
Good online training in a virtual classroom environment.
Highly qualified and experienced trainers. A real-time instructor conducts training sessions with real-time examples.
Special mock interviews
Real-time study material and Lab material provided.
"
Data Engineer - Lead,"Arlington, Virginia 22201","The Data Engineering Lead manages the design and build of modern analytics environments that comprise of raw data stores (data lakes) and cleansed data repositories by batch or streaming data pipelines. The Data Engineering Lead creates a robust, sustainable and flexible design and leads the technical delivery using Agile delivery frameworks like Scrum or Kanban. Should be a proven leader and mentor skilled at enabling and serving the development team.
Developing and managing data processes to ensure that data is available and usable
Creation and automation of data pipelines and platforms
Managing and monitoring data quality via automated testing frameworks (Data Driven Testing, TDD, etc.)
Working closely with Architects, Data Scientists, and DevOps to design, build, test, deliver, and maintain sustainable and highly scalable data solutions
Researching data acquisition and evaluating suitability
Integration of data management solutions into client environment 
Actively managing risks to data and ensuring there is a data recovery plan
7+ years relevant professional work experience.
Minimum of 5 years of hands on development experience in a technical role.
Explaining technical concepts in a business value context.
Technically savvy, entrepreneurial spirit who thrives in environments that reward self-initiative and resourcefulness.
Experience and expertise in the following:	 Creating robust and extensible data pipelines for production systems Use of cloud platforms, preferably AWS Creating secure, performant, and well-modeled data stores Common analytical platform architectural patterns (Star Schema, data integration patterns, ABAC, data quality frameworks etc.) Data lake design patterns and technology options (schema on read, metadata capture, search framework) Use of scripting languages, preferably Python Source code version control management using git  
Creating robust and extensible data pipelines for production systems
Use of cloud platforms, preferably AWS
Creating secure, performant, and well-modeled data stores
Common analytical platform architectural patterns (Star Schema, data integration patterns, ABAC, data quality frameworks etc.)
Data lake design patterns and technology options (schema on read, metadata capture, search framework)
Use of scripting languages, preferably Python
Source code version control management using git
Experience using NoSQL (e.g. Mongo, Neo4j) databases and data structures.
Excellent communication skills to be able to interact directly with non-technical client stakeholders and act in a business-to-technical translation role.
Experience working in an onsite client technical consulting environment preferred.
Experience working within Agile Frameworks, such as Scrum or Kanban.
"
Data Engineer - Remote work,"Seattle, Washington 98101",
Machine Learning Engineer - Remote,,"Design and develop algorithms for challenging vision classification and detections problems
Research and develop statistical learning models for data analysis
Implementing Computer Vision and ML algorithms
Collecting data and analyzing real world data
Deploying ML systems
Prototyping ML algorithms
3+ years of solid foundation general machine learning systems
3+ years of experience with Data Science Stack such as Pandas, Numpy, Sklearn, TensorFlow, SpaCy, NLTK, etc. Experience with data management systems, both relational and NoSQL
2+ years of programming / scripting experience with languages such as Python
"
"MBA Summer Associate Internship, Corporate AI Strategy - Summer 2021","Boston, Massachusetts 02210","The Vertex MBA AI summer associate program is focused on the intersection of advanced analytics and using AI techniques to help solve challenging business problems in the life sciences. Our MBA internship program is designed so that you can take ownership of business-critical projects, collaborate alongside industry leaders and become part of a diverse and inclusive culture. This coming summer, top MBA candidates from business schools around the world will be a part of a first of its kind program to develop the next generation of AI savvy business leaders in our 12 week opportunity designed to provide hands-on work experience in a challenging, fast-paced environment.MBA Intern Program Highlights
Exposure to using advanced analytics and AI to drive impact on business-critical projects
Experience presenting project findings to senior executive management
Industry and career development panels via our “Lunch and Learn” speaker series
Exposure to leading data science experts in Boston 
AI at VertexLeaders from our data science, IT and business functions will work with interns who can translate data science into business impact. You will be exposed to high-impact business questions across clinical, commercial, and general and administrative functions. You will work on a highly collaborative, centralized team of data scientists, engineers, and business strategists to deliver insights and solutions that drive value and impact for our highest priority business needs.This will be an excellent opportunity for a student to gain experience with applied data science and AI techniques and experience a dynamic, fast-paced environment, as well as bridge the gap between classroom applications of advanced analytic and business methods and learn how they are applied in the life sciences industry.Responsibilities
Conceptualize and deploy advanced analytics and AI solutions for business questions
Communicate and visualize the output of analyses, including both written and verbal
communication, to business leaders and non-technical audiences
Management and manipulation of data (capture, validate, cleanse, transform and upload
data),
originating from collaborations throughout the company across healthcare, life science, and
operational domains.
Understand and transform business needs/strategy into features or model
Produce innovative solutions driven by exploratory data analysis from diverse datasets and  
apply knowledge of statistics, machine learning, programming, data modeling
Bring an entrepreneurial, collaborative and ethical mindset to your everyday work 
Qualifications
MBA student in business with a background and/or experience in statistics, mathematics, computer science or a related quantitative discipline
Exposure to/experience in data modeling, machine learning, and linking data sets
Proficiency in Microsoft PowerPoint, Word, Excel, R, Python, or SAS/SPSS
"
Principal Business Intelligence (BI) Developer,"Saint Paul, Minnesota 55101","Development and ongoing maintenance of BI dashboards using Power BI
Evaluate and improve existing BI systems
Create visualizations and reports for requested projects
Translate business needs to technical specifications. Recommend best technical solution/method to solve business problems. Decisions impact purchases, corporate technology direction and department standards
Provide configuration and layout recommendations and input regarding business process changes, improving system operations, performance and data integrity
Develop analytics process and execution for SCES EI/BI
Anticipate future company needs and manage reporting change requests appropriately
Facilitate BI workshops for internal and external customers
Lead internal and external training sessions
Maintain and support data analytics platforms (e.g. PowerBI)
Heavy data analysis and development will be required, in particular during the initial months of this role
Manage the creation and deployment of BI data quality and corresponding content- This includes analysis and recommendations of the data
Lead projects to on-time delivery and support PowerBI
Establish processes and validate process compliance for onboarding new roll outs
Build rapport and maintain positive relationships with external and internal suppliers and customers
Set expectations on the timing of delivery for new projects and roll outs; identify, assess, and minimize risks throughout configuration and deployment processes
Participate in setting the strategic direction of data initiatives in the SCES business
Conduct unit testing and troubleshooting
Develop and update technical documentation
Successfully build the SCES EI/BI brand through effective deployments, networking, and adding enhancements as necessary
Bachelor's degree in a technical field including Information Technology, Operations Management or equivalent experience
Five (5) years of experience in leading technical analytics projects and deploying software related solutions in BI Development or Data Science
Two (2) years of full time direct experience with Power BI Development
Background in data warehouse design (e.g. dimensional modeling) and data mining
In-depth understanding of database management systems, online analytical processing (OLAP) and ETL (Extract, transform, load) framework
Familiarity with BI technologies (e.g. Microsoft Power BI)
Knowledge of SQL queries, SQL Server Reporting Services (SSRS) and SQL Server Integration Services (SSIS)
MBA preferred
Strong project management and data analysis skills
Hands on experience deploying and managing of complex configurable applications
Ability to lead by influence
Ability and willingness to be both hands on and strategic
Exercise discretion with confidential BI data
Strong written and verbal communication skills
Effective presentation and training skills
Understand key business drivers; make data connections to provide quality solutions tailored to the size and cost appropriate to solve the problem
Interpret client needs and make recommendations on BI tool use
Identify opportunities to improve systems and processes to deliver better service
Visa sponsorship not available
General office environment, must be able to sit for long periods of time
Some visits to customers and travel may be required on occasion
Available to work from home if necessary
Must be able to handle a stressful environment
PI125159593
"
"Manager, Clinical Quality Intelligence","Parsippany, New Jersey","How have you impacted someone’s life today? At Hackensack Meridian Health our teams are focused on changing the lives of our patients by providing the highest level of care each and every day. From our hospitals, rehab centers and occupational health teams to our long-term care centers and at-home care capabilities, our complete spectrum of services will allow you to apply your skills in multiple settings while building your career all within New Jersey’s premier healthcare system.

The Manager of Clinical Quality Intelligence is responsible for managing the collection, organization and input of data and information obtained in the quality programs/systems for the Hackensack Meridian Health. S/he is responsible for leading the optimization, normalization and ensuring the clinical abstraction integrity for various clinical systems within the network. Will lead the use various tools to gather, store and analyze data to assist the clinical intelligence department in identifying process improvement opportunities. Demonstrates the primary components of expert clinical information analysis, consultation, education and serves as a resource for outcomes data, data abstraction of Core Measures and clinical registries. As the lead of the clinical quality informatics team, they will lead the enhancement of patient safety and quality by giving full representation to the needs of the clinical and medical staff. Acts as an expert clinical resource for clinical systems and serves as the liaison between the department of quality and clinical information systems and provides end-user functional support for applications to improve clinical care. Responsible for leading and building vendor relationship to optimize data collection.

This manager will lead a team of 12.  The location of the position is flexible and can be in Edison or at one of our Network facilities.
 A day in the life of a Manager, Clinical Quality Intelligence at Hackensack Meridian Health includes:
Build and lead a clinical quality intelligence team to become organizational experts of external data specifications and data quality standards that allow for the integration of data, metric generation and knowledge to support decision support and clinical quality improvement. 
Leads the operationalization change by using quality methodologies for standardizing processes in accordance with current evidence, quality initiatives, regulatory and billing compliance. 
Manages priorities in a dynamic environment and adapt to change quickly and positively. 
Leads initiatives by working various departments (IT, Clinical service lines) to optimize data collection and submission. 
Assesses current clinical and business abstraction workflows/processes and develops recommendations for improvement based on best practices, detailed knowledge of the assigned solution(s) as well a holistic understanding of the solution technical platform. 
Assist the department of Data Science with data validation and enhancement recommendations of the data architecture for the department organization. Leads and manages the documentation of current and future state workflow/processes and policies, develops reporting specifications, creates detailed configuration documents, tracks critical design decisions, collects data, and completes other required system documentation. 
Maintain an up to date knowledge of current trends and issues in healthcare, healthcare informatics, nation and state wide standards and regulations, enterprise wide policies and procedures as related to clinical practice, and the legal implications of the EMR.
Education, Knowledge, Skills and Abilities Required: 
BSN required. 
5+ years acute care experience. 
3+ years of project management experience. 
5 years of clinical data management experience and proven track record of analyzing large data sets utilizing analytic reporting tools, synthesizing data, compiling data into reports, and communication of findings to stakeholders. 
Extensive knowledge of EMRs, healthcare regulations and accreditation, quality standards and patient safety. 
Knowledge of performance improvement methodologies, statistical principles, pay for reporting/ performance indicators and research methodologies required. 
Demonstrates advanced/proficient informatics analysis skills to plan, manage, problem solve, mitigate risk in the deployment of processes and transformations related. Ability to work independently with little direction. Able to prioritize work according to deadlines and organizational initiatives to produce assigned outcomes. 
Experience building relationships between IT and clinical providers. 
Have highly developed oral and written communication skills and utilize professional assessment skills to refer and communicate information. 
Demonstrated experience in obtaining cooperation and support from a broad range of people and ability to work effectively with physicians, nursing, administrative, and ancillary staff. 
 
Education, Knowledge, Skills and Abilities Preferred: 
MSN or Masters in clinical or Nursing Informatics. 
"
