,Title,Location,Description
1171,Senior Product Designer,Sydney NSW,"Synthesis of insights from user research data.Collaborate with product managers, tech-leads, engineering managers, engineers, data scientists and other…"
1172,Senior Animal Technician,Sydney NSW,"Accurate and efficient computer data entry.The Garvan Institute of Medical Research (Garvan) is one of Australia’s leading medical research institutes, with…"
1173,"Associate Digital Engineer (Mechanical), Water",Sydney NSW,"We are technical experts and strategic advisers including engineers, technicians, scientists, architects, planners, surveyors and environmental specialists, as…"
1174,Customer Analytics Manager,Melbourne VIC,"The perfect candidate will have a background in computer science or a related technical field, will have experience manage a team of data professionals with…"
1175,System / Network Administrator,Brisbane QLD,"Maintain and secure passwords, file system security and data integrity for desktop environment.Working with designers, developers, scientists, existing IT…"
1176,FullCAM Tester,Canberra ACT,"Develop testing documentation, test scripts and test data.Experience with spatial data testing and scientific computing is desirable."
1177,Investment Research Analyst | Global Award-Winning Company,Canberra ACT,Award-winning property development and investment company.Critical role within a smaller team offering hands on exposure.
1178,Senior Data Engineer / Analytics,Melbourne VIC,"Collaborate with members of team (eg, data architects, the IT team, data scientists) on the project's goals.Experience of building data and analytics platforms…"
1179,Small Cap Equities Research Analyst,Sydney NSW,Proven ability to critically review and analyse industry data.You will be working for one of Australia’s leading Institutional Equity businesses.
1180,UCARE - Senior Software Engineer.,Australia,AI’s team of data scientists and technologists came together with one mission; to use data ethically to solve real world problems and improve lives.
1181,"Senior Analyst, Quantitative Research",Sydney NSW,"As a sell-side quantitative researcher there is freedom to explore all parts of the investment process including signal detection, model design, style thematics…"
1182,"AWS Cloud BI Engineer, Data Analytics Platform",Sydney Central Business District NSW,Create data tools for analytics and data scientist team members that assist them in optimizing the product.Create optimal data pipeline architecture.
1183,Finance and Business Manager,Adelaide Region SA,"The company includes a strong management team, high calibre data scientists and systems engineers with extensive modelling experience, advised by property and…"
1184,Product Designer - UI/UX,Sydney NSW,"Our team of data technologists, designers, developers and management consultants coupled with our proprietary data analytics platform powers the next generation…"
1185,Senior Clinical Statistician,Melbourne City Centre VIC,"Newly created opportunity for a Senior Statistician to join a global, mid- size CRO based anywhere in VIC.This position can be based anywhere in Victoria and…"
1186,Medical Officer - Non Clinical -Standard Working Hours,Harman ACT,"In this role, you will work with scientist, medical device companies and doctors.Working with a team of 10 doctors, you will be researching, evaluating…"
1187,Senior Investment Quantitative Analyst,Melbourne VIC,"The Analyst will conduct applied, investment-focused quantitative analysis for a multi-billion dollar portfolio across a growing range of multi-asset mandates."
1188,Support Analyst,Brisbane QLD,"Work with squad members, architects, data scientists and/or business stakeholders as necessary to produce “just enough” design.Excellent hourly rates on offer."
1189,Senior Medical Physics Specialist - Senior Nuclear Medicine...,Canberra ACT,"Develop computer programs for clinical analysis, data processing or other requirements related to diagnostic imaging medical physics."
1190,Senior / Principal Statistical Programmer,Melbourne City Centre VIC,"Advise project staff with requirements in relation to data collection, data storage and tabulation.Ensure consistency in data structuring and presentation."
1191,"Manager, SMB Risk Analytics",Sydney NSW,"Over time, manage and mentor other analysts/data scientists, with a focus to grow the SME risk analytics capability at Zip.You've gotta hustle at Zip!"
1192,Research Analyst,New South Wales,"Experience in the health domain (e.g. eHealth, health support, clinical, health administration, health economics, academia, health data analytics)."
1193,Research Fellow - Joining Impact models of transport to spat...,Melbourne City Centre VIC,"Strong proficiency and skilled with statistical analysis packages, including data analysis and prototyping in R.Work type: Full time - Fixed term/Contract."
1194,Research Analyst,Sydney NSW,"Experience with Excel, PowerPoint and market data providers such as Thomson, Bloomberg, Dealogic, CapIQ, S&P, Credit Rating Agencies, etc would be best suited."
1195,Software Test Analyst,Brisbane QLD,"Work with designers, developers, scientists and other to make ensure quality of software and products.Big data testing, cross platform testing, component…"
1196,"Civil, Environmental and Water-resources Engineers, Mining (...",Brisbane QLD,"Provide oversight and quality control for data collection, management, reduction and analysis.ERM is seeking motivated civil, environmental and water-resources…"
1197,Production Operations Analyst,Perth WA,The Perth based team are all passionate scientists who work together to meet the common goal of developing new innovative products for the medical industry.
1198,FUND MANAGER Disruptive Technologies Research Analyst,Sydney NSW,Developing tailored research and insights on emerging technologies via data analytics and modeling across industries and markets.
1199,Senior Environmental Consultant,Sydney Western Suburbs NSW,"As a Senior Consultant, you will be joining a dynamic and multidisciplinary team of professionals, including engineers, scientists, economists, planners,…"
1200,Data Scientist (various positions),Adelaide Region SA,"It uses new data sources and techniques such big data and machine learning, as well as more traditional economic and skills analysis."
1201,Data Scientist,Sydney NSW,"Demonstrated experience in using data science preferably for economic research, working with Australian Labour Market data such as ABS Quarterly Labour Force…"
1202,Medical Data Scientist,Rocklea QLD,Contribute to data analyses as required for research projects.Undertake quality checks to assure high standards of data and code.
1203,Associate Professor / Professor and Chair in Manufacturing R...,Brisbane QLD,"Data innovation group in Australia, bringing.Scientists to bring new treatments to patients.The world’s data streaming in from cameras,."
1204,Data Scientist,Brisbane QLD,Experience with leading the development of data models and applying data analytics techniques to deliver improvements in productivity and reliability.
1205,Data Scientist,NSW South Coast NSW,"Demonstrated experience in using data science preferably for economic research, working with Australian Market data such as Quarterly Labour Force Survey and…"
1206,Earth Observation Data Workflow Developer,Canberra ACT,"Experience in processing satellite Earth Observation data.Work productively with diverse team members, including scientists and other software developers…"
1207,Software Engineer - Machine Learning/Data Science,Melbourne VIC,Zendesk is looking for a Software Engineer - Machine Learning/Data Science for a full time position in our Melbourne office.What you get to do every day:
1208,Software Engineer (Machine Learning),Payneham SA,"You will perform data analysis of medical report datasets and image datasets to infer sentence recommendations, image classifications, or other actionable…"
1209,Data Scientist - $650 - $720/day,Melbourne VIC,You will be joining a brand new data engineering team as a data consultant where you will be working on greenfield projects that have day to day impact on the…
1210,Data Scientist,Sydney NSW,"We are looking for a candidate with good command over R/Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm…"
1211,Start your new career as a Data Analyst,Sydney Central Business District NSW,The Data School Australia is creating the next generation of great data analysts and data scientists.The demand for great data analysts and data scientists has…
1212,Data Scientist,Australia,Research and develop statistical learning models for data analysis.Strong data analysis skills & Presentation skills making the complex simple.
1213,Data Scientist,Canberra ACT,"Demonstrated experience in using data science preferably for economic research, working with Australian Labour Market data such as ABS Quarterly Labour Force…"
1214,Marketing Data Scientist,Sydney NSW,Understanding of website data structures (data layer management).Understanding of website data structures (data layer management).Knowledge of SQL is needed.
1215,Data Scientist,Melbourne VIC,We're growing our data science capabilities and are looking for a data scientist to join our Eliiza team in Melbourne.We produce the AI Australia podcast.
1216,Data Scientist,Artarmon NSW,Good knowledge of data visualisation and dashboarding tools.Supporting business needs for analysis and data visualisation as required.
1217,DATA SCIENTIST - CUSTOMER OPERATIONS,Melbourne VIC,"Proven experience in data preparation and interrogation which could be demonstrated through experience in data formatting, manipulation, merging and…"
1218,Lead Data Scientist,Melbourne VIC,"Leading our internal data science capability by mentoring other data scientists, guiding our learning and development strategy, and helping with recruitment."
1219,Senior Data Scientist – ClearScore,Sydney Central Business District NSW,"3 years of experience in designing requirements for data to build, store and access data events in data infrastructure.Our Analysis Team works with -."
1220,Quantitative Analyst,Sydney NSW,Identify opportunities to improve efficiency and lower costs of data within the Investment Management team;Maintain and improve Clime Quality Filter;
1221,Machine Learning Engineer,Fortitude Valley QLD,At least 1-2 years of direct data science & machine learning expertise.Use your existing expertise to contribute to a variety of data science and machine…
1222,Software Engineer (Data),Brisbane QLD,We are a passionate team of data scientists and engineers who apply data science and machine learning to solve real-world problems.
1223,Data Scientist,Melbourne VIC,"Demonstrated experience in using data science preferably for economic research, working with Australian Labour Market data such as ABS Quarterly Labour Force…"
1224,Data Scientist,Australia,3+ years of working experience in data science.Core contributor of an open source machine learning or data science project.
1225,Research Data Analyst,Parramatta NSW,"Perform tasks including data cleansing, data transformation, data analysis and data visualisation using analytical tools.Must be able to start IMMEDIATELY."
1226,Junior Data Scientist,Sydney NSW,"Managing, manipulating and automating production of complex data sets in a true big data environment leveraging skills in Hadoop, Spark, Scala, R, Python and…"
1227,X3 Data Scientist | Machine Learning & AI,Melbourne VIC,"You will be responsible for the architecture and development of scalable data engineering and machine learning services.Up to $160, 000 + Superannuation."
1228,Market & Research Analyst,Adelaide CBD SA,"A data-driven approach to marketing, with experience analyzing and reviewing results.Corporate Maintenance Painting & Decorating offers a premium painting…"
1229,Medical Scientist,Rocklea QLD,The purpose of the role is to facilitate the translation of research data and quality improvement programs into clinical practice and improvement of patient…
1230,Data Scientist,Sydney NSW,"Talenza has been engaged by one of our ASX Top 50 clients,in their search for a talented Data Scientist to join a collaborative and high achieving A."
1231,Data Scientist ; Personalisation,Sydney NSW,Work with data engineering and technology teams to identify the right big data infrastructure to support future ambitions.Please apply on-line below!
1232,Data Scientist,Melbourne VIC,"Presenting data as a story.Promoting data science products company-wide.Information sponge, you live data and relationships.What your day could consist of:"
1233,Machine Learning Software Engineer,Northgate QLD,— Performing data analysis on experimental data and identify performance improvement strategies.— Collecting visual data from the mining site to…
1234,Data Scientist - Transportation,Brisbane QLD,"Sound base of knowledge in machine learning (including deep learning), statistical modelling, spatial data analysis and data visualisation."
1235,Data Scientist,Australia,"Has strong practical experience across one or more data science areas such as machine learning, data mining, text mining, descriptive analytics, data…"
1236,Data Scientist / Machine Learning (blockchain),Melbourne VIC,Experience in applying statistical or machine learning approaches to data analysis.Happy to work with pools of raw data provided by our clients and customers.
1237,DAIRY HERD HEALTH TECHNICIAN,South Leongatha VIC,"Also, to assist the associated veterinarians, agricultural scientists and consultants in areas such as dairy herd research, cattle health nutrition and milk…"
1238,Principal Data Scientist,Melbourne VIC,Experience applying data science methods to business problems.Writing code to forward the development of data science products and solutions for internal and…
1239,Polymer Development Chemist,Melbourne VIC,"This will include experiment design, the conduct of experimental studies, and data analysis.The key responsibilities for this position are to work as a polymer…"
1240,Data Scientist,Sydney NSW,***This is a mid-senior data science positions that require successful candidates to have experience developing statistical models using consumer and product…
1241,Statistician - home based (Ref:LM),Newcastle NSW,"Our approach ensures high quality consulting and data analysis.Manipulate, summarise and analyse clinical trial data using a variety of statistical methods."
1242,Full stack software engineer,Sydney NSW,"You're a data-driven problem solver who really enjoys working with large data-sets, data structures, algorithms and object-oriented design."
1243,UTS Scholarship Opportunity,Sydney NSW,The Data Science Institute is an industry-leading Research & Development (R&D) institute with a group of world-leading data scientists committed to applying…
1244,Data Scientist - Adelaide or Canberra,Canberra ACT,Strong statistical and data analysis\data science techniques and experience.Experience in database management and data retrieval from Teradata Warehouse and…
1245,Expressions of Interest,Melbourne VIC,We are a passionate team of data scientists and engineers who apply Artificial Intelligence (AI) / Machine Learning (ML) to solve real-world problems.
1246,Data Scientist - Modelling Team,Sydney NSW,Minimum 2 years’ experience in data science projects which requires working with high dimensional/big data.Research experience in exploratory data analysis.
1247,Lead Data Scientist - Sydney CBD,Sydney NSW,"Five+ years of commercial experience as a data scientist, developing advanced analytics applications.Experienced in data-driven analytics with hands-on…"
1248,Data Scientist,Canberra ACT,"Demonstrated knowledge of appropriate techniques to explore, profile and cleanse data from a diverse range of sources and experience in presenting exploratory…"
1249,Data Scientist,Sydney NSW,"Demonstrated experience in using data science preferably for economic research, working with Australian Labour Market data such as ABS Quarterly Labour Force…"
1250,Senior Software Engineer (R&D / Data Science / Machine Learn...,Sydney NSW,You have a previous role as a data engineer.You have commercial experience in a machine learning / data science project.What are we looking for?
1251,Junior R&D/Food Technologist,Keysborough VIC,"Record data, procedures and findings.Collect samples and data to document fit to specifications.How many years' experience do you have as a food technologist…"
1252,Senior Data Scientist,Sydney NSW,The role will allow the opportunity for the individual to develop the company’s data driven culture and explore new applications for data science and machine…
1253,Senior Software Engineer (R&D / Data Science / Machine Learn...,Sydney NSW,You have a previous role as a data engineer.You have commercial experience in a machine learning / data science project.What are we looking for?
1254,Junior Cloud Data Engineer,Melbourne VIC,"Worked closely with senior data engineers, data scientists, senior analytics leaders and non-technical business managers to help support and build data services…"
1255,Data Scientists,Sydney NSW,"Demonstrated experience in using data science preferably for economic research, working with Australian Labour Market data such as ABS Quarterly Labour Force…"
1256,Data Story lead,Sydney NSW,Collaborate with our predictive modelling teams to showcase data journeys which ultimately tell a data story.Post Graduate or PHD in data analytics and science…
1257,Machine Learning Engineer,Melbourne VIC,We are a passionate team of data scientists and engineers who apply data science and machine learning to solve real-world problems.
1258,Independent China A-share Research Analyst,Sydney NSW,"Smartkarma connects independent investment research analysts to institutional asset managers, such as sovereign wealth funds, hedge funds, pension funds,…"
1259,Data Scientist - Recommendation Systems,Sydney NSW,"Experience working with digital or social media data (Facebook, Google Analytics, scraped data or 3rd party) will be advantageous.About the role and work:"
1260,Senior Data Scientist,Sydney NSW,"You will be joining a passionate team of high-performance big data engineers, data scientists, product managers, and software engineers giving you the…"
1261,Data Engineer,Melbourne VIC,"You are the expert on data platforms, data pipelines, helping data scientists build more robust solutions and all things related to getting the right data in…"
1262,Senior Data Engineer (Machine Learning),Sydney NSW,A broad experience with the numerous technologies and methods used by data scientists and engineers to deliver production-grade data science outcomes.
1263,Data Scientist,Sydney NSW,"So many job ads talk about ""accountability"" however here its all about ""opportunity"".As the project architect, creator and strategist you'll run the engagement…"
1264,Environmental Scientist/ Engineer,Pyrmont NSW,"Core tasks will include proposal writing, audit review, field investigation and data gathering with an emphasis on data interpretation and analysis, research…"
1265,Environmental Planner / Scientist,Sydney NSW,"You’ll provide end-to-end project management from consultation, assessment, and client liaison to team coordination (contractor management, invoicing, drafting,…"
1266,Data Specialist,Sydney NSW,"Work closely with Director of the VET Machine Learning team to bridge the gap in expertise between the technical team, made up of data scientists, data analysts…"
1267,Software Engineer - Data and Machine Learning,Sydney NSW,"Explore and build data pipelines for new data sources, including interaction with clients to understand and gather data.Experience & traits we are looking for;"
1268,Lead Data Scientist,Melbourne VIC,Excellent predictive modelling and data mining skills.Must have extensive data science and predictive modelling background.
1269,Specialist - Gas and Ventilation,Brisbane QLD,You will be part of a multi-disciplinary skilled team providing solutions to operational challenges via the use of data and rapid development.
1270,Equity Analyst - Investment Content Writer,Sydney NSW,"Create data driven, scalable articles like this one, to empower everyday retail investors to understand complicated financial data and make better, non…"
1271,Data Scientist,Sydney NSW,We are hiring for a Data Scientist for a Global Consulting client in Melborne.Core exp as a Data Scientist – developing and optimizing algorithms using ML and…
1272,Senior Data Engineer - AI/ML,Brisbane QLD,Their data and analytics team have worked and built leading and bleeding-edge technologies in this space and what they have created so far may be game-changing.
1273,Senior Data Scientist,Sydney NSW,Experience leading a team of data scientists.On top of a next generation data lake.Generating robust advanced analytics and developing new cutting-edge…
1274,"Team Lead, Software Engineer – Machine Learning",Sydney NSW,You have a previous role as a data engineer.You have commercial experience in a machine learning/data science project.What are we looking for?
1275,"Team Lead, Software Engineer – Machine Learning",Sydney NSW,You have a previous role as a data engineer.You have commercial experience in a machine learning/data science project.What are we looking for?
1276,Senior Data Science/Machine Learning Engineer,Sydney NSW,A highly innovative start-up business is looking for a lead Machine Learning Engineer to come on board and help build new models/products and deploy them into…
1277,Data Scientists,Melbourne VIC,"Demonstrated experience in using data science preferably for economic research, working with Australian Labour Market data such as ABS Quarterly Labour Force…"
1278,Data Science Lead (Sydney),Sydney NSW,Provide expertise to data analysts and data scientists to help them understand data science and further their capability in its application.
1279,Geotechnical Engineer,Morisset NSW,Assist in providing critical analysis of data to develop and implement practical and commercial solutions for our clientele.What will your day look like?
1280,C++ Developer - (Machine Learning/Computer Vision),Melbourne VIC,C++ development in a commercial environment.Work with Computer Vision and Image processing.Work on new algorithms across different products.
1281,Data Scientist | Canberra | Security Clearance | Salary Nego...,Canberra ACT,Join Vertical Scope Group (VSG) and our teaming partners as we prepare for work on one of Australia’s largest ICT transformation projects to be created and…
1282,RF Signatures Technician,Adelaide Region SA,Experience with data acquisition and control systems in support of indoor and outdoor trials activities.Working alongside world-leading defence scientists our…
1283,FullCAM Tester,Canberra ACT,"Experience withspatial data testing and scientific computing.Ability to workindependently with developers, business users and scientists.1 x 12 month option."
1284,Data Engineer,Sydney NSW,"The wider data team counts 20 members across reporting, data engineering & science.Passionate about building data solutions – eagerness to learn."
1285,ETL Data Engineer/Modeller,Sydney NSW,Understanding of data modeling principles.Are you an experienced ETL data engineer with data modeling experience ready to build a new digital platform…
1286,"GIR, Asia Portfolio Strategy, Research Business Analyst, Mel...",Melbourne VIC,"Our analysts work on client-focused research in the equity, fixed-income, currency, and commodities markets, mining big data that enters markets around the…"
1287,Neurophysiology Scientist,Canberra ACT,Securely transfer and manage patient data.Maintain data integrity via remote login/ contacting patients via telephone.Capable of meeting tight deadlines.
1288,Community Specialist,Melbourne VIC,"Ultimately, the Centre will generate and manage the largest sets of genomic and clinical data ever assembled in Australia, and apply these to solve a wide…"
1289,Senior Analytics and Data Engineer,Sydney NSW,"Strong domain knowledge of data modelling and data science workflows.You have strong experience with modern data warehousing tools & models, building batch &…"
1290,Senior Data Engineer,Melbourne VIC,Working as a Senior Data Engineer building a unique data driven platform with both data scientists and software engineers.6-month contract view to extend.
1291,Software Developer,Fitzroy VIC,"You’ll also be working closely with a small AI product team, including a mix of front-end developers and data scientists.2 year contract (potential to extend)."
1292,Recruiting Associate,Sydney NSW,Interview prospective industry leaders as needed and capture critical data in GLG's extensive profile management systems;About GLG / Gerson Lehrman Group.
1293,Senior Data Scientist,Sydney NSW,"Expertise with wrangling and analysing data using Python or R.Expertise with data querying languages (e.g. SQL, BigQuery)."
1294,Data Engineer (Data Science),Melbourne VIC,"1-2+ years’ experience as a Data Engineer supporting advanced analytics/data scientists.Experience with data modelling and data integration including design,…"
1295,Marketing Insights Analyst,Sydney NSW,"Other members of the DnA team (architects, data engineers, data scientists, insight analysts).Interpret large and complex data sets."
1296,Talent Acquisition and Culture Lead,Fortitude Valley QLD,We are looking for a superstar Talent Acquisition and Culture Lead to manage our full-cycle recruiting and HR processes.This role is for you if you have:
1297,Team Lead - Machine Learning,Sydney NSW,"Startups often talk about AI or Machine Learning; but they rarely have access to high quality first party data (10M+ records), the technical infrastructure,…"
1298,Senior Full Stack Engineer - Data Platform focus,Artarmon NSW,"You have experience with database design, data platforms and data mining.We are looking for a Senior Full Stack Software Engineer to specify, design and…"
1299,Java Technical Lead,Sydney NSW,"Salary range (inc Super) - $190,000 - $220,000.100% fully flexible working arrangemnts.Tech Stack - Java, MicroServices, SpringBoot, AWS, Kafka, CI/CD."
1300,AWS Data Engineer,Sydney NSW,Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
1301,Business Development Manager,Sydney NSW,We are a passionate team of data scientists and engineers who apply data science and machine learning to solve real-world problems.
1302,Lead Quantitative Researcher,Sydney NSW,"Experience working with behavioural data, conducting randomised controlled trials, econometric modelling and deploying choice models are highly advantageous."
1303,Senior Angular Engineer,Sydney NSW,"You will work with cross functional teams, data scientists, developers and designers where your end goal will be to create a truly customer centric user…"
1304,DevOps Engineer,Brisbane QLD,Suppliers must provide data to the SOA Principal including transactional and invoice data.One major task will be to assist a team of remote sensing scientists…
1305,Senior Machine Learning Software Engineer,Sydney NSW,"We are the world's largest meditation community of 17 million people, from 120 countries speaking 50+ languages."
1306,UX Designer,Melbourne VIC,"These features allow patients to better understand their data, allow clinicians to quickly follow and track their patient’s condition, allow our clinical staff…"
1307,Consultant with Full Stack Capabilities Required,Barangaroo NSW,"Data analytics: 3 years (Required).Remi itself is a ragtag collective of mathematicians, engineers, devs, data scientists and ML enthusiasts who are seeking to…"
1308,Senior Data Engineer,Melbourne VIC,"We’re looking for individuals who have proven big data experience, either from an implementation or a data science prospective.What do you need to have?"
1309,"Senior Quantitative Analyst, Model Risk",Sydney NSW,"Ensure validation activity challenges a model's scope of application, methodology, implementation, data used & documentation.Attractive daily-rate on offer."
1310,Project Manager (Data Science and Digital) :: 12 Month Contr...,Melbourne VIC,Previous experience of working with data scienceprofessionals (Engineers / Scientists) in a project environment.Delivering projects to time and budget.
1311,Senior Graphic Designer,Sydney NSW,"Experience wire-framing, user testing and using data to guide the design process.Instant feedback from our millions of users on your designs with the killer…"
1312,"Product Manager, Enterprise",Sydney NSW,"Product managers are the CEO of the product they manage, leading teams of engineers, data scientists, growth hackers, designers (and other roles)."
1313,Site Reliability Engineer,Melbourne VIC,You will be working with unique data driven platforms with both data scientists and software engineers.The client offers a rare opportunity to work in their…
1314,Fullstack JavaScript Developer,Melbourne VIC,"These features will allow patients to better understand their data, allow clinicians to quickly follow and track their patient’s condition, allow our clinical…"
1315,"Senior Quantitative Analyst, Market Risk, Model Validation",Sydney NSW,"Ensure the scope of independent validation appropriately challenges a model's scope of application, methodology, implementations, data used & it's documentation…"
1316,Senior Product Manager,Sydney NSW,"Product managers are the CEO of the product they manage, leading teams of engineers, data scientists, growth hackers, designers (and other roles)."
1317,Product Manager,Sydney NSW,"Product managers run a team of engineers, data scientists, growth hackers, graphic designers (and other roles).5+ years in a product manager role."
1318,General Manager,Melbourne VIC,Strong influencing skills with the ability to influence other leaders and external stakeholders to make data based and strategy-based decisions.
1319,Digital Content Writer /Publisher,Canberra ACT,We are looking for a Digital Content Writer /Publisher for canberra based assignment.Content publishing connected to the agency’s external Website Refresh…
1320,Sr. Front-End Engineer | React.JS | Machine Learning | FMCG,Sydney NSW,Relaxed Office space where you'll get complete autonomy.Lead the way with a rapidly growing machine Learning Platform.Build innovative API's/Microservices.
1321,Interactive - Customer Analytics Data Scientist,Hong Kong,"We are hiring a Customer Analytics Data Science Consultant / Manager that will focus on the enabling of the TDA (Technology, Data, Analytic) vision of…"
1322,Data Scientist,Hong Kong,"Experience in manipulating large dataset from database, data warehouse or data lake (Azure or AWS datalike preferred).Computer Science or Information Systems."
1323,Associate Data Scientist,Hong Kong,"The Associate Data Scientist supports cross-functional project teams developing analytics enabled solutions, owning and managing assigned tasks."
1324,Data Scientist,Hong Kong,"Being the Data Scientist, the right candidate will.We are now inviting a self-motivated, creative and talented Data Scientist to join our Beta Labs."
1325,WINTER INTERN: Data Scientist,Hong Kong,"Assist in Projects in Data science, including machine learning, big data, robotic process automation, data visualization and natural language processing."
1326,Data Scientist,Hong Kong,We are now looking for a Data Scientist to join our Development team to work on our data and insights platform.What you will be working on.
1327,Head Data Scientist Top financial Institution,Hong Kong," Solid knowledge of statistical techniques, data modeling, data science, machine learning, analytics. Support the Chief Data Officer to create roadmap for…"
1328,Data Scientist,Hong Kong,"Evaluate data analysis tools that will offer deeper insight into the data pipeline.Modify data collection, processing model strategy effectively fit to target…"
1329,Data Scientist,Hong Kong,"Earth.Org uses data science, data visualisations and data journalism to raise awareness and influence opinion on the developing existential threat that is…"
1330,Data Scientist,Hong Kong,"2+ years commercial experience as a Data Scientist.You consider Advanced Analytics, Machine Learning, Artificial Intelligence, Big Data, Business Intelligence,…"
1331,Data Scientist,Hong Kong,Prepare data visualization reports and analytical dashboards.Prepare outbound marketing campaign list and validate the data after list extraction.
1332,"Consulting – Financial Services, Data & Analytics – Data Sci...",Hong Kong,As a Data Scientist you will work within the FS Technology Advisory team to deliver advanced analytics solutions utilising leading big data platforms and cloud…
1333,Global Markets Data Scientist,Hong Kong,"Hadoop), and in working with data engineers to build good data.Are you passionate about building models from data that can deliver business benefit?"
1334,IBM HK Consulting Associate Program (2021-intake),Hong Kong,Do you want to be a consultant?Here at IBM Services we live and breathe a client-first mindset in everything we do.Or designing and delivering solutions.
1335,Data Scientist - US Artificial Intelligence Firm - Deep Lear...,Hong Kong,To manipulate data and draw insights from large data sets.The Data Scientist must have a proven ability to drive business results with their data-based…
1336,Data Scientist,Hong Kong,Data Scientist for one of Hong Kong’s fastest-growing FinTech companies innovating in personal finance solutions.1+ year relevant experience in Data science.
1337,Computational Scientist (CS-EMPS),Hong Kong,"Good understanding of atmospheric chemistry, data assimilation, numerical modelling (WRF, CMAQ) would be an advantage;Usually used for atmospheric modelling."
1338,Data Scientist / Computational Scientist,Hong Kong,"Utilize user characteristics and behavior data, financial data to do data mining and model building analysis;Knowledge of data structure and algorithm;"
1339,Data Scientist,Hong Kong Island,Leading multinational insurance client is seeking talented data scientist with approx.2-4 years’ experience as data scientist or 5+ years’ experience as data…
1340,Data Scientist,Hong Kong,3+ years overall experience in data mining and/or data science field.We are looking for Data Scientists to work on and lead complex data analysis projects…
1341,Data Scientist,Hong Kong,Use big data analytic techniques to build predictive models from voluminous data collected from customer touch points.
1342,Associate Data Scientist,Hong Kong,"Fresh graduates and candidates with less experience will consider as Associate Data Scientist.Solid experience in artificial intelligence, Machine Learning,…"
1343,Data Scientist - Hong Kong - (M/F),Hong Kong,"The Data Scientist will work with the client's team, his/her responsibilities include:Leverage data and machine learning technologies to transform data and…"
1344,Data Scientist - Hang Seng Bank (HK),"Central, Hong Kong Island","Experience in working within and structuring large data sets.Bachelor degree or higher qualifications in Data Science, Statistics, Mathematics, Computer…"
1345,"Data Scientist, Marketing Analytics and Insights",Hong Kong Island,To manipulate data and draw insights from large data sets.Identify and assess the effectiveness of new 3rd party data sources and data gathering techniques.
1346,Data Scientist -upto 70K 12 months rolling contract,Hong Kong,To manipulate data and draw insights from large data sets.Develop custom data models and algorithms to apply to data sets.
1347,"Consulting â€“ Financial Services, Data & Analytics â€“ Data...",Hong Kong,As a Data Scientist you will work within the FS Technology Advisory team to deliver advanced analytics solutions utilising leading big data platforms and cloud…
1348,BIG DATA SCIENTIST,Hong Kong,"They are currently looking for a Big Data Scientist to join their team in Hong Kong.You will be responsible for Big Data model build up and development,…"
1349,Conservation Scientist,Hong Kong,Your data may be accessed by our appointed recruitment consultants who have agreed to keep confidence of all personal data in not less than the standards…
1350,Senior Data Scientist – Data Lab APAC,Hong Kong,The Euler Hermes Data Lab in Asia Pacific is looking to recruit a Senior Data Scientist to run the data science and the analytics team.
1351,Postdoctoral AI & Machine Learning Scientist,Hong Kong,"Develop data models to find patterns and correlations from big data.Knowledge & Experience in Big Data, AI & Deep Learning, Recommendation Systems, Search…"
1352,Data Engineer,Hong Kong,"So starting from the core responsibilities, this will be an exciting opportunity to grow yourself towards a full-stack data engineer."
1353,Research Scientist,Hong Kong,"Modelling and testing in Matlab, R and other languages.Research experience in health care/fitness.Three years of relevant research experience."
1354,Data Scientist,Hong Kong,They are looking for an experienced data scientist to join the team for the upcoming exciting projects.5 years working experience in data science.
1355,Research Scientist – Cell Line Development,Hong Kong,Identifies and interprets data independently.Performs data management and tasks to record results effectively in lab notebook or computer system with minimal…
1356,Senior Data Scientist,Hong Kong,The Offensive Data setup team focuses on the following data driven use cases:Its mandate includes providing data expertise such as data science along with…
1357,Research Scientist – Gene Construct,Hong Kong,Identifies and interprets data independently.Performs data management and tasks to record results effectively in lab notebook or computer system with minimal…
1358,Head L&H Solutions Data,Hong Kong,Ability to understand data scientist needs to tackle business related data problems.Create library of existing data sources for L&H Re and investigate new data…
1359,Data Scientist (Banking),Hong Kong,Engage in big data analysis application and define the data problem at stake and coordinate the data pipeline creation.
1360,"Data Scientist, Data Migration Engineer, Data engineer, etc.",Hong Kong,"Data lake/ data migration projects,Testing Automation, SQL Server Azure, SSIS,SSAS, Python, Java or C# .NET.Senior/Junior Data Migration Software Engineer."
1361,Research Scientist – Protein Engineering,Hong Kong,Identifies and interprets data independently.Performs data management and tasks to record results effectively in lab notebook or computer system with minimal…
1362,Data Scientist / Quantitative Analyst,Hong Kong,"Proficient in the analysis of large data sets, with solid programming knowledge in a data analysis oriented language (preferably Python)."
1363,Data Scientist / Computational Scientist,Hong Kong,"Utilize user characteristics and behavior data, financial data to do data mining and model building analysis;Knowledge on data structure and algorithm;"
1364,Data Scientist (Team Lead)(Ref:/PRD/DS),Hong Kong,"Understanding of NLP techniques for text representation, semantic extraction techniques, data structures and modeling.Knowledge of Python, Java and/or R."
1365,Chief Data Scientist,Hong Kong,"Extensive experience of data science, deep learning technologies, data mining/modelling experience in data-driven organizations."
